Probability_0,Probability_1,Probability_2
0.9999985905633099,5.7606113101727975e-21,1.4094366901123379e-06
0.9962860896451217,9.623011586039494e-15,0.003713910354868857
1.1207164702452458e-13,0.9998381081800526,0.00016189181983521501
0.9999450870569684,1.1486241444833876e-17,5.4912943031624224e-05
9.921949336674111e-28,0.9999999999962184,3.7816564176090574e-12
3.4744028096876156e-13,0.9994711911180971,0.0005288088815553211
3.4711347781097495e-06,0.16700829468284403,0.8329882341823778
9.467179303626402e-10,0.6546213080270377,0.34537869102624447
1.2846347964878821e-23,0.9999999988830359,1.1169640498916874e-09
2.991764405084526e-13,0.9996950889599879,0.00030491103971285274
0.9992596298519136,4.76081513671432e-15,0.0007403701480816866
1.4609873782837811e-28,0.9999999999992084,7.915433315734772e-13
0.9990153488314346,1.3743072183938184e-15,0.0009846511685641037
0.07785113890918557,3.6162713635543374e-09,0.9221488574745431
9.467599853638027e-12,0.9980719781989736,0.0019280217915585572
0.0016947840001698487,3.3015198475688685e-05,0.9982722008013545
1.532076689843424e-18,0.9999996526079366,3.4739206355841426e-07
0.9989492759811881,8.112342123499216e-15,0.0010507240188036497
4.690540561884615e-18,0.999998334495141,1.6655048591081777e-06
0.042159398544090676,5.253606927196339e-08,0.95784054891984
0.999999937630267,1.2930300034586475e-24,6.236973294911467e-08
0.0006858385042833938,6.826412369486783e-05,0.9992458973720219
0.999994489575602,1.438790274296744e-20,5.510424398071827e-06
0.9655580235085126,6.330705765566597e-12,0.03444197648515675
3.032203996271533e-16,0.9999852824299016,1.4717570098165151e-05
0.006353438796637392,5.375123475423856e-07,0.9936460236910151
3.4386751334458873e-19,0.9999999795859242,2.041407579320559e-08
0.9999987763480253,8.012441253896067e-23,1.223651974722233e-06
1.3673645097638266e-11,0.9796078096455888,0.020392190340737432
5.466574834961986e-06,0.027575917108665825,0.9724186163164992
